Date,Exercise,Floss,Writing,Coding,Skincare
1/1/22,NA,NA,NA,NA,NA
1/2/22,NA,NA,NA,NA,NA
1/3/22,NA,NA,NA,NA,NA
1/4/22,R,1,0,0,NA
1/5/22,R,1,0,0,NA
1/6/22,0,0,0,0,NA
1/7/22,0,0,0,0,NA
1/8/22,R,0,0,0,NA
1/9/22,R,0,0,0,NA
1/10/22,R,0,0,0,NA
1/11/22,R,0,0,0,NA
1/12/22,0,0,0,0,NA
1/13/22,0,0,0,0,NA
1/14/22,0,0,0,0,NA
1/15/22,0,0,0,0,NA
1/16/22,0,0,0,0,NA
1/17/22,0,0,0,0,NA
1/18/22,R,0,0,0,NA
1/19/22,R,1,0,0,NA
1/20/22,R,0,0,0,NA
1/21/22,0,0,0,0,NA
1/22/22,R,0,0,0,NA
1/23/22,0,0,0,0,NA
1/24/22,0,0,0,0,NA
1/25/22,0,1,0,0,NA
1/26/22,0,0,0,0,NA
1/27/22,0,0,0,0,NA
1/28/22,0,0,0,0,NA
1/29/22,0,0,0,0,NA
1/30/22,0,0,0,0,NA
1/31/22,0,0,0,0,NA
2/1/22,0,0,0,0,NA
2/2/22,0,0,0,0,NA
2/3/22,0,0,0,0,NA
2/4/22,0,0,0,0,NA
2/5/22,0,0,0,0,NA
2/6/22,0,1,0,0,NA
2/7/22,0,0,0,0,NA
2/8/22,0,0,0,0,NA
2/9/22,0,0,0,0,NA
2/10/22,R,0,0,0,NA
2/11/22,0,0,0,0,NA
2/12/22,R,1,0,0,1
2/13/22,0,0,0,0,0
2/14/22,0,0,0,0,0
2/15/22,0,0,0,0,0
2/16/22,0,0,0,0,0
2/17/22,0,0,0,0,0
2/18/22,0,0,0,0,0
2/19/22,0,0,0,0,0
2/20/22,0,0,0,0,0
2/21/22,0,0,0,0,0
2/22/22,0,0,0,0,0
2/23/22,0,0,0,0,0
2/24/22,0,0,0,0,0
2/25/22,0,0,0,0,0
2/26/22,0,0,0,0,0
2/27/22,0,0,0,0,0
2/28/22,0,0,0,0,0
3/1/22,0,0,0,0,0
3/2/22,0,0,0,0,0
3/3/22,0,0,0,0,0
3/4/22,0,0,0,0,0
3/5/22,0,0,0,0,0
3/6/22,0,1,0,0,1
3/7/22,R,1,J,0,1
3/8/22,0,0,0,0,0
3/9/22,0,0,0,0,0
3/10/22,0,0,0,0,0
3/11/22,R,0,0,0,1
3/12/22,0,0,0,0,0
3/13/22,0,0,0,0,0
3/14/22,C,0,0,0,0
3/15/22,0,0,0,0,0
3/16/22,0,0,0,0,0
3/17/22,0,0,0,0,1
3/18/22,0,0,0,0,0
3/19/22,0,0,0,0,0
3/20/22,0,1,0,0,1
3/21/22,0,0,0,0,0
3/22/22,0,0,0,0,0
3/23/22,0,0,J,0,0
3/24/22,0,0,0,0,0
3/25/22,0,0,0,0,0
3/26/22,0,0,0,0,1
3/27/22,0,0,0,0,1
3/28/22,0,0,0,0,1
3/29/22,0,0,0,0,0
3/30/22,0,0,0,0,0
3/31/22,0,0,0,0,0
4/1/22,0,0,0,0,0
4/2/22,0,0,0,0,0
4/3/22,0,0,0,0,0
4/4/22,0,0,0,0,0
4/5/22,0,0,0,0,0
4/6/22,0,0,0,0,0
4/7/22,R,1,0,0,1
4/8/22,C,1,0,0,1
4/9/22,0,0,0,0,0
4/10/22,0,0,0,0,0
4/11/22,0,0,0,0,0
4/12/22,0,0,0,0,0
4/13/22,0,0,0,0,0
4/14/22,0,0,0,0,0
4/15/22,0,0,0,0,1
4/16/22,0,0,0,0,0
4/17/22,0,0,0,0,0
4/18/22,R,1,0,0,1
4/19/22,0,0,0,0,0
4/20/22,0,0,0,0,0
4/21/22,0,1,0,0,1
4/22/22,0,0,0,0,0
4/23/22,0,0,0,0,0
4/24/22,0,0,0,0,0
4/25/22,0,0,0,0,1
4/26/22,0,1,0,0,1
4/27/22,0,0,0,0,0
4/28/22,0,0,0,1,0
4/29/22,0,0,0,1,0
4/30/22,0,0,0,0,0
5/1/22,0,0,0,1,0
5/2/22,0,0,0,1,0
5/3/22,R,0,0,1,0
5/4/22,0,1,J,1,1
5/5/22,0,0,0,1,0
5/6/22,0,0,0,1,0
5/7/22,0,,J,1,0
5/8/22,0,0,0,0,0
5/9/22,0,0,0,0,0
5/10/22,0,0,0,1,0
5/11/22,0,0,0,1,0
5/12/22,R,0,0,1,0
5/13/22,0,0,0,1,0
5/14/22,0,0,0,0,0
5/15/22,0,0,0,0,1
5/16/22,0,0,0,1,0
5/17/22,0,0,0,0,0
5/18/22,0,0,0,0,0
5/19/22,0,0,0,1,0
5/20/22,0,0,0,1,0
5/21/22,R,1,0,0,1
5/22/22,0,0,0,0,0
5/23/22,R,1,0,1,1
5/24/22,0,0,0,1,0
5/25/22,0,0,0,0,0
5/26/22,R,0,0,1,1
5/27/22,0,0,0,1,0
5/28/22,0,0,0,0,0
5/29/22,0,0,0,0,0
5/30/22,0,0,0,0,0
5/31/22,0,0,0,1,0
6/1/22,0,0,0,0,0
6/2/22,R,1,0,0,1
6/3/22,0,0,0,0,0
6/4/22,0,0,0,0,0
6/5/22,0,0,0,0,0
6/6/22,0,0,0,0,0
6/7/22,0,0,0,0,0
6/8/22,0,0,0,0,0
6/9/22,0,0,0,0,0
6/10/22,0,0,0,0,0
6/11/22,0,0,0,0,0
6/12/22,0,0,0,0,0
6/13/22,0,1,0,0,1
6/14/22,0,0,0,1,0
6/15/22,0,0,0,0,0
6/16/22,0,0,0,0,0
6/17/22,R,0,0,1,0
6/18/22,R,0,0,0,1
6/19/22,0,0,0,1,0
6/20/22,R,0,0,0,0
6/21/22,0,0,0,1,0
6/22/22,0,0,0,0,0
6/23/22,0,0,J,1,0
6/24/22,0,0,0,0,1
6/25/22,0,0,0,0,0
6/26/22,R,1,0,0,1
6/27/22,0,0,0,1,0
6/28/22,0,0,0,0,0
6/29/22,0,0,0,0,0
6/30/22,0,0,0,0,1
7/1/22,0,0,0,0,0
7/2/22,0,0,0,0,0
7/3/22,0,0,0,0,0
7/4/22,0,0,0,0,1
7/5/22,0,0,0,0,0
7/6/22,R,1,0,1,1
7/7/22,0,1,0,1,0
7/8/22,0,0,0,0,0
7/9/22,R,0,0,0,0
7/10/22,0,0,0,0,0
7/11/22,0,0,0,0,1
7/12/22,0,0,0,0,0
7/13/22,0,0,0,1,0
7/14/22,0,0,0,1,0
7/15/22,0,0,0,0,0
7/16/22,0,0,0,0,0
7/17/22,0,0,0,1,0
7/18/22,0,0,0,1,0
7/19/22,0,0,0,1,0
7/20/22,0,0,0,0,0
7/21/22,R,1,0,1,1
7/22/22,0,0,0,1,0
7/23/22,0,0,0,1,0
7/24/22,0,0,0,0,0
7/25/22,0,0,0,1,1
7/26/22,0,0,J,0,0
7/27/22,0,0,0,0,0
7/28/22,0,0,0,0,1
7/29/22,0,0,0,0,0
7/30/22,0,0,0,0,0
7/31/22,0,0,0,0,0
8/1/22,R,1,0,0,1
8/2/22,0,0,0,0,0
8/3/22,0,0,0,0,0
8/4/22,0,0,0,0,0
8/5/22,0,0,0,0,0
8/6/22,0,0,0,0,0
8/7/22,R,0,0,0,0
8/8/22,0,0,0,0,0
8/9/22,0,0,0,0,0
8/10/22,0,0,J,0,0
8/11/22,0,0,0,0,0
8/12/22,0,0,0,0,0
8/13/22,0,0,0,0,0
8/14/22,0,0,0,0,0
8/15/22,0,0,0,0,0
8/16/22,0,0,0,0,0
8/17/22,0,0,0,0,0
8/18/22,R,0,0,0,1
8/19/22,0,0,0,0,0
8/20/22,0,0,0,0,0
8/21/22,0,0,0,0,0
8/22/22,0,0,0,0,1
8/23/22,0,0,0,0,0
8/24/22,0,0,0,0,0
8/25/22,0,0,0,0,0
8/26/22,R,0,0,0,1
8/27/22,0,0,0,0,0
8/28/22,0,0,0,0,0
8/29/22,R,0,0,0,1
8/30/22,0,0,0,0,0
8/31/22,R,0,0,0,1
9/1/22,0,0,0,0,0
9/2/22,0,0,0,0,0
9/3/22,0,0,0,0,0
9/4/22,0,0,0,0,0
9/5/22,R,0,0,0,1
9/6/22,R,0,0,0,1
9/7/22,0,0,0,0,0
9/8/22,0,0,0,0,0
9/9/22,0,1,0,0,0
9/10/22,B,0,0,0,1
9/11/22,R,0,0,0,1
9/12/22,0,0,0,0,0
9/13/22,0,0,0,0,0
9/14/22,0,0,0,0,0
9/15/22,0,0,0,0,0
9/16/22,0,0,0,0,0
9/17/22,0,0,0,1,0
9/18/22,0,0,0,1,1
9/19/22,0,0,0,0,0
9/20/22,0,0,0,1,0
9/21/22,0,0,0,0,0
9/22/22,0,0,0,1,1
9/23/22,0,0,0,1,0
9/24/22,0,0,0,0,0
9/25/22,0,0,0,1,0
9/26/22,0,0,0,0,0
9/27/22,R,0,0,1,1
9/28/22,0,0,0,1,0
9/29/22,R,0,0,1,0
9/30/22,0,0,0,1,0
10/1/22,R,0,0,1,1
10/2/22,0,0,0,0,0
10/3/22,0,0,0,0,0
10/4/22,0,0,0,0,0
10/5/22,0,1,0,1,1
10/6/22,0,0,0,0,0
10/7/22,0,0,0,0,0
10/8/22,0,0,0,0,0
10/9/22,0,0,0,0,0
10/10/22,0,1,0,0,1
10/11/22,0,0,0,0,0
10/12/22,0,0,0,0,0
10/13/22,0,0,0,0,0
10/14/22,0,0,0,0,0
10/15/22,0,0,0,0,0
10/16/22,0,0,0,0,0
10/17/22,0,0,0,0,0
10/18/22,0,0,0,0,0
10/19/22,0,1,0,0,1
10/20/22,0,0,0,0,0
10/21/22,0,0,0,0,0
10/22/22,0,0,0,0,0
10/23/22,0,0,0,0,0
10/24/22,0,0,0,0,1
10/25/22,0,0,0,0,0
10/26/22,0,0,0,0,0
10/27/22,0,0,0,0,0
10/28/22,0,0,0,0,1
10/29/22,0,0,0,1,0
10/30/22,0,0,0,1,0
10/31/22,0,0,0,1,0
11/1/22,0,1,0,1,0
11/2/22,0,0,0,1,0
11/3/22,0,0,0,1,0
11/4/22,0,1,0,1,1
11/5/22,0,0,0,0,0
11/6/22,0,0,0,1,0
11/7/22,0,1,0,1,1
11/8/22,0,0,0,1,0
11/9/22,0,0,0,1,0
11/10/22,0,1,0,1,1
11/11/22,0,0,0,1,0
11/12/22,0,0,0,1,1
11/13/22,0,0,0,1,0
11/14/22,0,0,0,1,0
11/15/22,R,1,0,1,1
11/16/22,0,0,0,0,0
11/17/22,0,0,0,0,0
11/18/22,0,0,0,1,0
11/19/22,0,1,0,0,1
11/20/22,0,0,0,0,0
11/21/22,0,1,0,1,0
11/22/22,0,0,0,1,0
11/23/22,0,0,0,1,0
11/24/22,0,0,0,0,1
11/25/22,0,0,0,1,0
11/26/22,R,0,0,1,0
11/27/22,0,1,0,1,0
11/28/22,R,1,0,1,1
11/29/22,0,0,0,1,0
11/30/22,0,0,0,1,0
12/1/22,R,0,0,1,1
12/2/22,0,0,0,1,0
12/3/22,0,0,0,1,0
12/4/22,0,0,0,0,0
12/5/22,0,0,0,1,0
12/6/22,R,1,0,1,1
12/7/22,0,0,0,1,0
12/8/22,0,0,0,0,0
12/9/22,0,1,0,0,1
12/10/22,0,0,0,0,0
12/11/22,0,0,0,0,1
12/12/22,0,0,0,1,0
12/13/22,0,0,0,1,0
12/14/22,0,1,0,1,0
12/15/22,0,0,0,1,0
12/16/22,0,0,0,1,1
12/17/22,0,0,0,1,0
12/18/22,0,1,0,1,0
12/19/22,0,0,0,1,0
12/20/22,R,1,0,1,1
12/21/22,0,0,0,1,0
12/22/22,0,1,0,1,1
12/23/22,0,0,0,0,0
12/24/22,0,0,0,0,0
12/25/22,0,0,0,0,1
12/26/22,0,0,0,1,0
12/27/22,R,1,0,1,1
12/28/22,0,0,0,1,0
12/29/22,0,0,0,1,0
12/30/22,0,0,0,0,0
12/31/22,0,1,0,0,1